original_title;genre;director;actors;description;combined_features
The Flying Scot;Crime, Drama;Compton Bennett;Lee Patterson, Kay Callard, Alan Gifford, Margaret Withers, Mark Baker, Jeremy Bodkin, Gerald Case, Margaret Gordon, John Lee, Kerry Jordan, John Dearth;Ronnie, earning very little from his own exploits, gathers together a band of villains to carry out a robbery on 'The Flying Scotsman' passenger train. The train is carrying withdrawn bank notes from Scotland to London to be destroyed.;The Flying Scot Crime, Drama Compton Bennett Lee Patterson, Kay Callard, Alan Gifford, Margaret Withers, Mark Baker, Jeremy Bodkin, Gerald Case, Margaret Gordon, John Lee, Kerry Jordan, John Dearth Ronnie, earning very little from his own exploits, gathers together a band of villains to carry out a robbery on 'The Flying Scotsman' passenger train. The train is carrying withdrawn bank notes from Scotland to London to be destroyed.
La maldición de la momia azteca;Horror;Rafael Portillo;Ramón Gay, Rosita Arenas, Crox Alvarado, Luis Aceves Castañeda, Jorge Mondragón, Arturo Martínez, Emma Roldán, Julián de Meriche, Salvador Lozano, Jaime González Quiñones, Ángel Di Stefani, Jesús Murcielago Velázquez, Enrique Yáñez, Guillermo Hernández, Alberto Yáñez;The evil Dr. Krupp, once again trying to get possession of the Aztec princess Xochitl's jewels, hypnotizes her current reincarnation, Flor, to get her to reveal the jewels' location - ...;La maldición de la momia azteca Horror Rafael Portillo Ramón Gay, Rosita Arenas, Crox Alvarado, Luis Aceves Castañeda, Jorge Mondragón, Arturo Martínez, Emma Roldán, Julián de Meriche, Salvador Lozano, Jaime González Quiñones, Ángel Di Stefani, Jesús Murcielago Velázquez, Enrique Yáñez, Guillermo Hernández, Alberto Yáñez The evil Dr. Krupp, once again trying to get possession of the Aztec princess Xochitl's jewels, hypnotizes her current reincarnation, Flor, to get her to reveal the jewels' location - ...
The Man Who Turned to Stone;Horror, Sci-Fi;László Kardos;Victor Jory, William Hudson, Charlotte Austin, Jean Willes, Ann Doran, Paul Cavanagh, George Lynn, Victor Varconi, Friedrich von Ledebur, Tina Carver, Barbara Wilson;Jory and his followers stay immortal by siphoning off the life forces of others. If they don't get renewed, they petrify.;The Man Who Turned to Stone Horror, Sci-Fi László Kardos Victor Jory, William Hudson, Charlotte Austin, Jean Willes, Ann Doran, Paul Cavanagh, George Lynn, Victor Varconi, Friedrich von Ledebur, Tina Carver, Barbara Wilson Jory and his followers stay immortal by siphoning off the life forces of others. If they don't get renewed, they petrify.
The Man Without a Body;Horror, Sci-Fi;Charles Saunders, W. Lee Wilder;Robert Hutton, George Coulouris, Julia Arnall, Nadja Regin, Sheldon Lawrence, Peter Copley, Michael Golden, Norman Shelley, Stanley Van Beers, Tony Quinn, Maurice Kaufmann, William Sherwood, Edwin Ellis, Donald Morley, Frank Forsyth;A wealthy business man discovers he has a brain tumor and seeks medical help. The business man finds a scientist experimenting with transplanting monkey heads on different monkey bodies. ...;The Man Without a Body Horror, Sci-Fi Charles Saunders, W. Lee Wilder Robert Hutton, George Coulouris, Julia Arnall, Nadja Regin, Sheldon Lawrence, Peter Copley, Michael Golden, Norman Shelley, Stanley Van Beers, Tony Quinn, Maurice Kaufmann, William Sherwood, Edwin Ellis, Donald Morley, Frank Forsyth A wealthy business man discovers he has a brain tumor and seeks medical help. The business man finds a scientist experimenting with transplanting monkey heads on different monkey bodies. ...
The Man in the Road;Crime, Thriller;Lance Comfort;Derek Farr, Ella Raines, Donald Wolfit, Lisa Daniely, Bruce Beeby, Russell Napier, Cyril Cusack, Frederick Piper, Karel Stepanek, Alfred Maron, John Welsh, Olive Sloane;Communist agents trail an important scientist to try to steal his top-secret new formula.;The Man in the Road Crime, Thriller Lance Comfort Derek Farr, Ella Raines, Donald Wolfit, Lisa Daniely, Bruce Beeby, Russell Napier, Cyril Cusack, Frederick Piper, Karel Stepanek, Alfred Maron, John Welsh, Olive Sloane Communist agents trail an important scientist to try to steal his top-secret new formula.
Man in the Shadow;Action, Crime, Drama;Jack Arnold;Jeff Chandler, Orson Welles, Colleen Miller, Ben Alexander, Barbara Lawrence, John Larch, James Gleason, Royal Dano, Paul Fix, Leo Gordon, Martin Garralaga, Mario Siletti, Charles Horvath, William Schallert, Joseph J. Greene;Virgil Renchler owns most of the town providing a thriving economy. When his men go too far and kill one of his migrant workmen, the sheriff goes after him even if it means his job and everyone else's.;Man in the Shadow Action, Crime, Drama Jack Arnold Jeff Chandler, Orson Welles, Colleen Miller, Ben Alexander, Barbara Lawrence, John Larch, James Gleason, Royal Dano, Paul Fix, Leo Gordon, Martin Garralaga, Mario Siletti, Charles Horvath, William Schallert, Joseph J. Greene Virgil Renchler owns most of the town providing a thriving economy. When his men go too far and kill one of his migrant workmen, the sheriff goes after him even if it means his job and everyone else's.
Man of a Thousand Faces;Biography, Drama;Joseph Pevney;James Cagney, Dorothy Malone, Jane Greer, Marjorie Rambeau, Jim Backus, Robert Evans, Celia Lovsky, Jeanne Cagney, Jack Albertson, Roger Smith, Robert Lyden, Rickie Sorensen, Dennis Rush, Nolan Leary, Simon Scott;The life and career of vaudevillian and silent screen horror star;Man of a Thousand Faces Biography, Drama Joseph Pevney James Cagney, Dorothy Malone, Jane Greer, Marjorie Rambeau, Jim Backus, Robert Evans, Celia Lovsky, Jeanne Cagney, Jack Albertson, Roger Smith, Robert Lyden, Rickie Sorensen, Dennis Rush, Nolan Leary, Simon Scott The life and career of vaudevillian and silent screen horror star
Man on Fire;Drama;Ranald MacDougall;Bing Crosby, Inger Stevens, Mary Fickett, E.G. Marshall, Malcolm Brodrick, Richard Eastham, Anne Seymour, Dan Riss;A wealthy businessman whose wife has divorced him, is bitter about the divorce, and prevents his ex-wife from seeing their child. The ex-wife takes him to court, and a judge tries to ...;Man on Fire Drama Ranald MacDougall Bing Crosby, Inger Stevens, Mary Fickett, E.G. Marshall, Malcolm Brodrick, Richard Eastham, Anne Seymour, Dan Riss A wealthy businessman whose wife has divorced him, is bitter about the divorce, and prevents his ex-wife from seeing their child. The ex-wife takes him to court, and a judge tries to ...
Il marito;Comedy;Nanni Loy, Fernando Palacios;Alberto Sordi, Aurora Bautista, Luigi Tosi, Alberto De Amicis, Carlo Ninchi, Marcello Giorda, Delia Luna, Laly Blanch, Rosita Pisano, Julia Caba Alba, Ciccio Barbi, Pino Patti, Celia Muñoz, Ramsay Ames, Joaquín Vidriales;Alberto's marriage is a complete failure: his wife Elena is a hard woman influenced by her mother and sister who live with the married couple. Alberto is also experiencing financial ...;Il marito Comedy Nanni Loy, Fernando Palacios Alberto Sordi, Aurora Bautista, Luigi Tosi, Alberto De Amicis, Carlo Ninchi, Marcello Giorda, Delia Luna, Laly Blanch, Rosita Pisano, Julia Caba Alba, Ciccio Barbi, Pino Patti, Celia Muñoz, Ramsay Ames, Joaquín Vidriales Alberto's marriage is a complete failure: his wife Elena is a hard woman influenced by her mother and sister who live with the married couple. Alberto is also experiencing financial ...
The Mark of the Hawk;Drama;Michael Audley;Eartha Kitt, Sidney Poitier, Juano Hernandez, John McIntire, Helen Horton, Marne Maitland, Gerard Heinz, Patrick Allen, Earl Cameron, Clifton Macklin, Ewen Solon, Lockwood West, Francis Matthews, Philip Vickers, Bill Nagy;The man called Obam struggles with the increasingly hostile forces facing each other in a colonial African country. The African natives want their land and lives back from the British ...;The Mark of the Hawk Drama Michael Audley Eartha Kitt, Sidney Poitier, Juano Hernandez, John McIntire, Helen Horton, Marne Maitland, Gerard Heinz, Patrick Allen, Earl Cameron, Clifton Macklin, Ewen Solon, Lockwood West, Francis Matthews, Philip Vickers, Bill Nagy The man called Obam struggles with the increasingly hostile forces facing each other in a colonial African country. The African natives want their land and lives back from the British ...
Il medico e lo stregone;Comedy;Mario Monicelli;Vittorio De Sica, Marcello Mastroianni, Marisa Merlini, Lorella De Luca, Gabriella Pallotta, Alberto Sordi, Virgilio Riento, Carlo Taranto, Ilaria Occhini, Riccardo Garrone, Giorgio Cerioni, Gino Buzzanca, Franco Di Trocchio;"Francesco, a young doctor, is appointed doctor to the imaginary village of Pianetta in the province of Avellino, but is immediately in competition with Don Antonio, a so-called ""healer"".";"Il medico e lo stregone Comedy Mario Monicelli Vittorio De Sica, Marcello Mastroianni, Marisa Merlini, Lorella De Luca, Gabriella Pallotta, Alberto Sordi, Virgilio Riento, Carlo Taranto, Ilaria Occhini, Riccardo Garrone, Giorgio Cerioni, Gino Buzzanca, Franco Di Trocchio Francesco, a young doctor, is appointed doctor to the imaginary village of Pianetta in the province of Avellino, but is immediately in competition with Don Antonio, a so-called ""healer""."
Men in War;Action, Drama, War;Anthony Mann;Robert Ryan, Aldo Ray, Robert Keith, Phillip Pine, Nehemiah Persoff, Vic Morrow, James Edwards, L.Q. Jones, Scott Marlowe, Adam Kennedy, Race Gentry, Walter Kelley, Anthony Ray, Robert Normand, Michael Miller;During the Korean War, a battle-worn lieutenant and his platoon are behind enemy lines, and have orders to march to Hill 465 for possible relief.;Men in War Action, Drama, War Anthony Mann Robert Ryan, Aldo Ray, Robert Keith, Phillip Pine, Nehemiah Persoff, Vic Morrow, James Edwards, L.Q. Jones, Scott Marlowe, Adam Kennedy, Race Gentry, Walter Kelley, Anthony Ray, Robert Normand, Michael Miller During the Korean War, a battle-worn lieutenant and his platoon are behind enemy lines, and have orders to march to Hill 465 for possible relief.
The Midnight Story;Crime, Drama, Film-Noir;Joseph Pevney;Tony Curtis, Marisa Pavan, Gilbert Roland, Jay C. Flippen, Argentina Brunetti, Ted de Corsia, Richard Monda, Kathleen Freeman, Herb Vigran, Peggy Maley, John Cliff, Russ Conway, Chico Vejar, Tito Vuolo, Helen Wallace;When a San Francisco priest is murdered, a policeman, who's a close friend, starts an investigation.;The Midnight Story Crime, Drama, Film-Noir Joseph Pevney Tony Curtis, Marisa Pavan, Gilbert Roland, Jay C. Flippen, Argentina Brunetti, Ted de Corsia, Richard Monda, Kathleen Freeman, Herb Vigran, Peggy Maley, John Cliff, Russ Conway, Chico Vejar, Tito Vuolo, Helen Wallace When a San Francisco priest is murdered, a policeman, who's a close friend, starts an investigation.
Mon oncle;Comedy;Jacques Tati;Jean-Pierre Zola, Adrienne Servantie, Lucien Frégis, Betty Schneider, Jean-François Martial, Dominique Marie, Yvonne Arnaud, Adelaide Danieli, Alain Bécourt, Régis Fontenay, Claude Badolle, Max Martel, Nicolas Bataille;Monsieur Hulot visits the technology-driven world of his sister, brother-in-law, and nephew, but he can't quite fit into the surroundings.;Mon oncle Comedy Jacques Tati Jean-Pierre Zola, Adrienne Servantie, Lucien Frégis, Betty Schneider, Jean-François Martial, Dominique Marie, Yvonne Arnaud, Adelaide Danieli, Alain Bécourt, Régis Fontenay, Claude Badolle, Max Martel, Nicolas Bataille Monsieur Hulot visits the technology-driven world of his sister, brother-in-law, and nephew, but he can't quite fit into the surroundings.
Miracle in Soho;Drama, Romance;Julian Amyes;John Gregson, Belinda Lee, Cyril Cusack, Peter Illing, Rosalie Crutchley, Marie Burke, Ian Bannen, Brian Bedford, Barbara Archer, John Cairney, Lane Meddick, Billie Whitelaw, Julian Somers, Harry Brunning, Douglas Ives;"In London's colorful but seedy Soho, Michael Morgan is working mending the road. He is unhappy, with little hope of finding happiness. Then he meets Julia Gozzi, and ""The Miracle"" happens.";"Miracle in Soho Drama, Romance Julian Amyes John Gregson, Belinda Lee, Cyril Cusack, Peter Illing, Rosalie Crutchley, Marie Burke, Ian Bannen, Brian Bedford, Barbara Archer, John Cairney, Lane Meddick, Billie Whitelaw, Julian Somers, Harry Brunning, Douglas Ives In London's colorful but seedy Soho, Michael Morgan is working mending the road. He is unhappy, with little hope of finding happiness. Then he meets Julia Gozzi, and ""The Miracle"" happens."
Les misérables;Drama;Jean-Paul Le Chanois;Jean Gabin, Bernard Blier, René Fleur, Julienne Paroli, Fernand Ledoux, Edmond Ardisson, Christian Fourcade, Jean Ozenne, Bernard Musson, Danièle Delorme, Elfriede Florin, Bourvil, Madeleine Barbulée, Gerhard Bienert, Harry Hindemith;Jean Valjean, convicted of a minor crime, spends the rest of his life being pursued by a cruel and unrelenting policeman, Javert.;Les misérables Drama Jean-Paul Le Chanois Jean Gabin, Bernard Blier, René Fleur, Julienne Paroli, Fernand Ledoux, Edmond Ardisson, Christian Fourcade, Jean Ozenne, Bernard Musson, Danièle Delorme, Elfriede Florin, Bourvil, Madeleine Barbulée, Gerhard Bienert, Harry Hindemith Jean Valjean, convicted of a minor crime, spends the rest of his life being pursued by a cruel and unrelenting policeman, Javert.
Mister Cory;Crime, Drama, Film-Noir;Blake Edwards;Tony Curtis, Martha Hyer, Charles Bickford, Kathryn Grant, William Reynolds, Henry Daniell, Russ Morgan, Willis Bouchey, Louise Lorimer, Joan Banks, Harry Landers, Glen Kramer, Dick Crockett;A street-smart young man from the Chicago slums dreams of cajoling with the rich and powerful, no matter the cost.;Mister Cory Crime, Drama, Film-Noir Blake Edwards Tony Curtis, Martha Hyer, Charles Bickford, Kathryn Grant, William Reynolds, Henry Daniell, Russ Morgan, Willis Bouchey, Louise Lorimer, Joan Banks, Harry Landers, Glen Kramer, Dick Crockett A street-smart young man from the Chicago slums dreams of cajoling with the rich and powerful, no matter the cost.
La momia azteca contra el robot humano;Horror, Sci-Fi;Rafael Portillo;Ramón Gay, Rosita Arenas, Crox Alvarado, Luis Aceves Castañeda, Jorge Mondragón, Arturo Martínez, Emma Roldán, Julián de Meriche, Salvador Lozano, Jaime González Quiñones, Ángel Di Stefani, Adolfo Rojas, Jesús Murcielago Velázquez, Enrique Yáñez, Guillermo Hernández;A mad doctor builds a robot in order to steal a valuable Aztec treasure from a tomb guarded by a centuries-old living mummy.;La momia azteca contra el robot humano Horror, Sci-Fi Rafael Portillo Ramón Gay, Rosita Arenas, Crox Alvarado, Luis Aceves Castañeda, Jorge Mondragón, Arturo Martínez, Emma Roldán, Julián de Meriche, Salvador Lozano, Jaime González Quiñones, Ángel Di Stefani, Adolfo Rojas, Jesús Murcielago Velázquez, Enrique Yáñez, Guillermo Hernández A mad doctor builds a robot in order to steal a valuable Aztec treasure from a tomb guarded by a centuries-old living mummy.
La momia azteca;Horror;Rafael Portillo;Ramón Gay, Rosita Arenas, Crox Alvarado, Luis Aceves Castañeda, Jorge Mondragón, Arturo Martínez, Emma Roldán, Julián de Meriche, Salvador Lozano, Jaime González Quiñones, Ángel Di Stefani, Jesús Murcielago Velázquez, Enrique Yáñez, Guillermo Hernández, Alberto Yáñez;Experimenting in hypnotic regression to past lives, Dr. Almada discovers that his fiancée, Flor, is the reincarnation of an Aztec maiden who was put to death for loving an Aztec warrior, ...;La momia azteca Horror Rafael Portillo Ramón Gay, Rosita Arenas, Crox Alvarado, Luis Aceves Castañeda, Jorge Mondragón, Arturo Martínez, Emma Roldán, Julián de Meriche, Salvador Lozano, Jaime González Quiñones, Ángel Di Stefani, Jesús Murcielago Velázquez, Enrique Yáñez, Guillermo Hernández, Alberto Yáñez Experimenting in hypnotic regression to past lives, Dr. Almada discovers that his fiancée, Flor, is the reincarnation of an Aztec maiden who was put to death for loving an Aztec warrior, ...
